CAEMP25N Total full-time and part-time employment by NAICS industry 1/
CAEMP25N Total full-time and part-time employment by NAICS industry 1/
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2012
00998,United States (Metropolitan Portion),,Employment by place of work,
00998,United States (Metropolitan Portion),10,Total employment (number of jobs),155994342
00998,United States (Metropolitan Portion),,By type,
00998,United States (Metropolitan Portion),20,"  Wage and salary employment",122618135
00998,United States (Metropolitan Portion),40,"  Proprietors employment",33376207
00998,United States (Metropolitan Portion),50,"    Farm proprietors employment",800706
00998,United States (Metropolitan Portion),60,"    Nonfarm proprietors employment 2/",32575501
00998,United States (Metropolitan Portion),,By industry,
00998,United States (Metropolitan Portion),70,"  Farm employment",1286007
00998,United States (Metropolitan Portion),80,"  Nonfarm employment",154708335
00998,United States (Metropolitan Portion),90,"    Private nonfarm employment",134328940
00998,United States (Metropolitan Portion),100,"      Forestry, fishing, and related activities",562925
00998,United States (Metropolitan Portion),200,"      Mining, quarrying, and oil and gas extraction",1004023
00998,United States (Metropolitan Portion),300,"      Utilities",461318
00998,United States (Metropolitan Portion),400,"      Construction",7633690
00998,United States (Metropolitan Portion),500,"      Manufacturing",10181473
00998,United States (Metropolitan Portion),600,"      Wholesale trade",5638834
00998,United States (Metropolitan Portion),700,"      Retail trade",15577031
00998,United States (Metropolitan Portion),800,"      Transportation and warehousing",5116387
00998,United States (Metropolitan Portion),900,"      Information",3013471
00998,United States (Metropolitan Portion),1000,"      Finance and insurance",8912661
00998,United States (Metropolitan Portion),1100,"      Real estate and rental and leasing",7129986
00998,United States (Metropolitan Portion),1200,"      Professional, scientific, and technical services",11464551
00998,United States (Metropolitan Portion),1300,"      Management of companies and enterprises",2064796
00998,United States (Metropolitan Portion),1400,"      Administrative and support and waste management and remediation services",10113057
00998,United States (Metropolitan Portion),1500,"      Educational services",3901282
00998,United States (Metropolitan Portion),1600,"      Health care and social assistance",17789819
00998,United States (Metropolitan Portion),1700,"      Arts, entertainment, and recreation",3613966
00998,United States (Metropolitan Portion),1800,"      Accommodation and food services",11112379
00998,United States (Metropolitan Portion),1900,"      Other services (except government and government enterprises)",9037291
00998,United States (Metropolitan Portion),2000,"    Government and government enterprises",20379395
00998,United States (Metropolitan Portion),2001,"      Federal civilian",2603475
00998,United States (Metropolitan Portion),2002,"      Military",1835035
00998,United States (Metropolitan Portion),2010,"      State and local",15940885
00998,United States (Metropolitan Portion),2011,"        State government",4526051
00998,United States (Metropolitan Portion),2012,"        Local government",11414834
10180,"Abilene, TX (Metropolitan Statistical Area)",,Employment by place of work,
10180,"Abilene, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),99843
10180,"Abilene, TX (Metropolitan Statistical Area)",,By type,
10180,"Abilene, TX (Metropolitan Statistical Area)",20,"  Wage and salary employment",73486
10180,"Abilene, TX (Metropolitan Statistical Area)",40,"  Proprietors employment",26357
10180,"Abilene, TX (Metropolitan Statistical Area)",50,"    Farm proprietors employment",2840
10180,"Abilene, TX (Metropolitan Statistical Area)",60,"    Nonfarm proprietors employment 2/",23517
10180,"Abilene, TX (Metropolitan Statistical Area)",,By industry,
10180,"Abilene, TX (Metropolitan Statistical Area)",70,"  Farm employment",3128
10180,"Abilene, TX (Metropolitan Statistical Area)",80,"  Nonfarm employment",96715
10180,"Abilene, TX (Metropolitan Statistical Area)",90,"    Private nonfarm employment",78968
10180,"Abilene, TX (Metropolitan Statistical Area)",100,"      Forestry, fishing, and related activities",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",200,"      Mining, quarrying, and oil and gas extraction",6089
10180,"Abilene, TX (Metropolitan Statistical Area)",300,"      Utilities",372
10180,"Abilene, TX (Metropolitan Statistical Area)",400,"      Construction",5758
10180,"Abilene, TX (Metropolitan Statistical Area)",500,"      Manufacturing",3024
10180,"Abilene, TX (Metropolitan Statistical Area)",600,"      Wholesale trade",2992
10180,"Abilene, TX (Metropolitan Statistical Area)",700,"      Retail trade",10355
10180,"Abilene, TX (Metropolitan Statistical Area)",800,"      Transportation and warehousing",2080
10180,"Abilene, TX (Metropolitan Statistical Area)",900,"      Information",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",1000,"      Finance and insurance",6130
10180,"Abilene, TX (Metropolitan Statistical Area)",1100,"      Real estate and rental and leasing",2907
10180,"Abilene, TX (Metropolitan Statistical Area)",1200,"      Professional, scientific, and technical services",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",1300,"      Management of companies and enterprises",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",1400,"      Administrative and support and waste management and remediation services",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",1500,"      Educational services",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",1600,"      Health care and social assistance",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",1700,"      Arts, entertainment, and recreation",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",1800,"      Accommodation and food services",(D)
10180,"Abilene, TX (Metropolitan Statistical Area)",1900,"      Other services (except government and government enterprises)",5954
10180,"Abilene, TX (Metropolitan Statistical Area)",2000,"    Government and government enterprises",17747
10180,"Abilene, TX (Metropolitan Statistical Area)",2001,"      Federal civilian",1276
10180,"Abilene, TX (Metropolitan Statistical Area)",2002,"      Military",4854
10180,"Abilene, TX (Metropolitan Statistical Area)",2010,"      State and local",11617
10180,"Abilene, TX (Metropolitan Statistical Area)",2011,"        State government",3535
10180,"Abilene, TX (Metropolitan Statistical Area)",2012,"        Local government",8082
10420,"Akron, OH (Metropolitan Statistical Area)",,Employment by place of work,
10420,"Akron, OH (Metropolitan Statistical Area)",10,Total employment (number of jobs),412049
10420,"Akron, OH (Metropolitan Statistical Area)",,By type,
10420,"Akron, OH (Metropolitan Statistical Area)",20,"  Wage and salary employment",332028
10420,"Akron, OH (Metropolitan Statistical Area)",40,"  Proprietors employment",80021
10420,"Akron, OH (Metropolitan Statistical Area)",50,"    Farm proprietors employment",1001
10420,"Akron, OH (Metropolitan Statistical Area)",60,"    Nonfarm proprietors employment 2/",79020
10420,"Akron, OH (Metropolitan Statistical Area)",,By industry,
10420,"Akron, OH (Metropolitan Statistical Area)",70,"  Farm employment",1378
10420,"Akron, OH (Metropolitan Statistical Area)",80,"  Nonfarm employment",410671
10420,"Akron, OH (Metropolitan Statistical Area)",90,"    Private nonfarm employment",360880
10420,"Akron, OH (Metropolitan Statistical Area)",100,"      Forestry, fishing, and related activities",401
10420,"Akron, OH (Metropolitan Statistical Area)",200,"      Mining, quarrying, and oil and gas extraction",2329
10420,"Akron, OH (Metropolitan Statistical Area)",300,"      Utilities",(D)
10420,"Akron, OH (Metropolitan Statistical Area)",400,"      Construction",19116
10420,"Akron, OH (Metropolitan Statistical Area)",500,"      Manufacturing",41396
10420,"Akron, OH (Metropolitan Statistical Area)",600,"      Wholesale trade",19752
10420,"Akron, OH (Metropolitan Statistical Area)",700,"      Retail trade",42854
10420,"Akron, OH (Metropolitan Statistical Area)",800,"      Transportation and warehousing",(D)
10420,"Akron, OH (Metropolitan Statistical Area)",900,"      Information",5010
10420,"Akron, OH (Metropolitan Statistical Area)",1000,"      Finance and insurance",17786
10420,"Akron, OH (Metropolitan Statistical Area)",1100,"      Real estate and rental and leasing",14574
10420,"Akron, OH (Metropolitan Statistical Area)",1200,"      Professional, scientific, and technical services",24556
10420,"Akron, OH (Metropolitan Statistical Area)",1300,"      Management of companies and enterprises",15730
10420,"Akron, OH (Metropolitan Statistical Area)",1400,"      Administrative and support and waste management and remediation services",25745
10420,"Akron, OH (Metropolitan Statistical Area)",1500,"      Educational services",7377
10420,"Akron, OH (Metropolitan Statistical Area)",1600,"      Health care and social assistance",51988
10420,"Akron, OH (Metropolitan Statistical Area)",1700,"      Arts, entertainment, and recreation",8827
10420,"Akron, OH (Metropolitan Statistical Area)",1800,"      Accommodation and food services",27213
10420,"Akron, OH (Metropolitan Statistical Area)",1900,"      Other services (except government and government enterprises)",22424
10420,"Akron, OH (Metropolitan Statistical Area)",2000,"    Government and government enterprises",49791
10420,"Akron, OH (Metropolitan Statistical Area)",2001,"      Federal civilian",2256
10420,"Akron, OH (Metropolitan Statistical Area)",2002,"      Military",1809
10420,"Akron, OH (Metropolitan Statistical Area)",2010,"      State and local",45726
10420,"Akron, OH (Metropolitan Statistical Area)",2011,"        State government",(D)
10420,"Akron, OH (Metropolitan Statistical Area)",2012,"        Local government",(D)
10500,"Albany, GA (Metropolitan Statistical Area)",,Employment by place of work,
10500,"Albany, GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),79388
10500,"Albany, GA (Metropolitan Statistical Area)",,By type,
10500,"Albany, GA (Metropolitan Statistical Area)",20,"  Wage and salary employment",62931
