MSA Full Name,Unit (Valid for crosstab only) ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Abilene, TX",Millions of USD,92917742,66958538,90305437,99532855,79319630,45889719,46533326,53439951,60439170,62579606
"Aguadilla-Isabela, PR",Millions of USD,637088739,665171086,748141187,622571256,469487657,455343981,450390099,469574919,395610714,391270350
"Akron, OH",Millions of USD,3821459065,3544500989,3393740655,3019338047,2768167101,2716456631,2765363538,2667442160,2187946782,2539855992
"Albany, GA",Millions of USD,281658074,368420258,310376435,329093113,349093360,251907452,273747839,321300029,331414344,359012195
"Albany-Lebanon, OR",Millions of USD,,610490154,589450386,649716355,620356109,678014474,748018202,717026101,580894155,678674965
"Albany-Schenectady-Troy, NY",Millions of USD,3420057593,3946129526,4547005040,4470252034,4134953569,3883187614,3325828386,3068224357,3153538774,3398446098
"Albuquerque, NM",Millions of USD,1790610246,1389643068,1563956935,1761198923,999733036,624156322,771485765,1629703578,1265346974,2215037106
"Alexandria, LA",Millions of USD,74481590,104976099,95432092,111011750,68153139,19809311,19108540,75416115,37719769,64189478
"Allentown-Bethlehem-Easton, PA-NJ",Millions of USD,2939010235,2949890351,3152479779,3439947474,3657167948,3639447886,3423194850,3796331801,3207407309,4088744997
"Altoona, PA",Millions of USD,256799912,262280208,306186010,276730580,254005588,215397794,227525040,213333791,161711961,192066757
"Amarillo, TX",Millions of USD,382645631,580714616,600398276,480959618,455232151,527800106,,673464466,465464242,847110102
"Ames, IA",Millions of USD,251247341,253333934,274891348,261711810,316741175,385769149,456348674,545154896,499007352,625460034
"Anchorage, AK",Millions of USD,416415765,518045298,571821280,421899263,1215373628,1675886465,1510835997,1348043417,990922431,
"Anderson, IN",Millions of USD,103393736,,,,,,,,,
"Anderson, SC",Millions of USD,471283072,,,,,,,,,
"Ann Arbor, MI",Millions of USD,1053430336,1156182132,1213578406,1052959525,1207925469,1447380385,1538690113,1432687472,1183094427,1230663582
"Anniston-Oxford, AL",Millions of USD,201133458,192707976,277420363,281134606,278686230,278670826,328491284,409976036,272353123,301953823
"Appleton, WI",Millions of USD,971609948,946556681,918013300,837893856,1023195091,1084023672,1055530774,1084730595,1004414393,860473487
"Arecibo, PR",Millions of USD,,280705593,342139066,544708934,518464932,411567892,460140178,448203761,431057603,536339770
"Asheville, NC",Millions of USD,975078919,1080349046,1113795333,1144429613,1114564069,1094905074,1022227994,846084169,822309831,876419473
